,,metric,chi-chi,chi-san,san-chi,san-san
results_f,RF,f,0.6,0.487,0.169,0.69
results_f,RF-FA,f,0.517,0.67,0.684,0.517
results_f,RF-BW,f,0.654,0.58,0.687,0.681
results_f,RF-CORAL,f,0.371,0.497,0.36,0.699
results_f,RF-SA,f,0.605,0.594,0.678,0.611
results_f,LR,f,0.618,0.478,0.243,0.68
results_f,LR-FA,f,0.388,0.655,0.619,0.546
results_f,LR-BW,f,0.705,0.61,0.71,0.636
results_f,LR-CORAL,f,0.431,0.545,0.299,0.69
results_f,LR-SA,f,0.547,0.524,0.69,0.544
results_f_std,RF,f_std,0.022,0.019,0.003,0.003
results_f_std,RF-FA,f_std,0.03,0.012,0.005,0.007
results_f_std,RF-BW,f_std,0.013,0.003,0.004,0.006
results_f_std,RF-CORAL,f_std,0.055,0.097,0.038,0.003
results_f_std,RF-SA,f_std,0.067,0.026,0.004,0.007
results_f_std,LR,f_std,0.005,0.008,0.026,0.002
results_f_std,LR-FA,f_std,0.01,0.001,0.001,0.001
results_f_std,LR-BW,f_std,0.003,0.005,0.009,0.003
results_f_std,LR-CORAL,f_std,0.021,0.007,0.038,0.003
results_f_std,LR-SA,f_std,0.01,0.012,0.002,0.008
results_np,RF,np,0.671/0.336,0.652/0.232,0.121/0.349,0.794/0.53
results_np,RF-FA,np,0.575/0.302,0.758/0.534,0.78/0.325,0.752/0.154
results_np,RF-BW,np,0.75/0.296,0.725/0.355,0.786/0.315,0.792/0.509
results_np,RF-CORAL,np,0.375/0.356,0.557/0.405,0.366/0.338,0.782/0.571
results_np,RF-SA,np,0.703/0.236,0.736/0.374,0.839/0.075,0.772/0.361
results_np,LR,np,0.696/0.326,0.756/0.048,0.217/0.341,0.797/0.501
results_np,LR-FA,np,0.407/0.316,0.79/0.446,0.693/0.344,0.738/0.25
results_np,LR-BW,np,0.872/0.081,0.785/0.34,0.826/0.276,0.789/0.401
results_np,LR-CORAL,np,0.451/0.358,0.746/0.234,0.29/0.336,0.738/0.615
results_np,LR-SA,np,0.6/0.348,0.757/0.165,0.854/0.08,0.774/0.191
results_np_std,RF,np_std,0.031/0.336,0.056/0.232,0.004/0.349,0.001/0.53
results_np_std,RF-FA,np_std,0.04/0.302,0.01/0.534,0.006/0.325,0.002/0.154
results_np_std,RF-BW,np_std,0.02/0.296,0.009/0.355,0.007/0.315,0.004/0.509
results_np_std,RF-CORAL,np_std,0.07/0.356,0.198/0.405,0.049/0.338,0.004/0.571
results_np_std,RF-SA,np_std,0.107/0.236,0.02/0.374,0.009/0.075,0.009/0.361
results_np_std,LR,np_std,0.008/0.326,0.002/0.048,0.033/0.341,0.001/0.501
results_np_std,LR-FA,np_std,0.013/0.316,0.0/0.446,0.001/0.344,0.003/0.25
results_np_std,LR-BW,np_std,0.008/0.081,0.001/0.34,0.015/0.276,0.001/0.401
results_np_std,LR-CORAL,np_std,0.026/0.358,0.013/0.234,0.05/0.336,0.006/0.615
results_np_std,LR-SA,np_std,0.014/0.348,0.003/0.165,0.006/0.08,0.002/0.191
results_np_P,RF,np_P,0.819/0.247,0.584/0.328,0.827/0.214,0.704/0.75
results_np_P,RF-FA,np_P,0.788/0.21,0.704/0.631,0.817/0.285,0.619/0.583
results_np_P,RF-BW,np_P,0.806/0.249,0.639/0.522,0.815/0.283,0.697/0.754
results_np_P,RF-CORAL,np_P,0.844/0.227,0.609/0.499,0.805/0.216,0.721/0.688
results_np_P,RF-SA,np_P,0.791/0.205,0.65/0.568,0.781/0.13,0.656/0.723
results_np_P,LR,np_P,0.814/0.247,0.611/0.713,0.791/0.212,0.695/0.782
results_np_P,LR-FA,np_P,0.772/0.205,0.679/0.786,0.823/0.257,0.625/0.522
results_np_P,LR-BW,np_P,0.792/0.313,0.656/0.848,0.809/0.308,0.669/0.816
results_np_P,LR-CORAL,np_P,0.841/0.232,0.626/0.579,0.79/0.211,0.753/0.598
results_np_P,LR-SA,np_P,0.825/0.241,0.622/0.644,0.786/0.173,0.632/0.961
results_np_R,RF,np_R,0.57/0.527,0.744/0.191,0.065/0.949,0.911/0.41
results_np_R,RF-FA,np_R,0.455/0.542,0.823/0.464,0.747/0.377,0.959/0.089
results_np_R,RF-BW,np_R,0.702/0.37,0.838/0.271,0.759/0.356,0.918/0.384
results_np_R,RF-CORAL,np_R,0.244/0.829,0.575/0.47,0.239/0.783,0.856/0.489
results_np_R,RF-SA,np_R,0.657/0.346,0.853/0.289,0.906/0.054,0.938/0.242
results_np_R,LR,np_R,0.608/0.48,0.993/0.025,0.126/0.876,0.934/0.368
results_np_R,LR-FA,np_R,0.277/0.695,0.945/0.312,0.598/0.518,0.902/0.165
results_np_R,LR-BW,np_R,0.969/0.049,0.975/0.213,0.846/0.254,0.961/0.266
results_np_R,LR-CORAL,np_R,0.309/0.781,0.925/0.149,0.179/0.821,0.723/0.634
results_np_R,LR-SA,np_R,0.471/0.626,0.966/0.095,0.934/0.052,0.997/0.106
results_np_AUC,RF,AUC,0.5697211375718134,0.4619673482472008,0.48266275715750073,0.7166183912257
results_np_AUC,RF-FA,AUC,0.0,0.6711082934536212,0.57878652649646,0.0
results_np_AUC,RF-BW,AUC,0.0,0.5759035903189613,0.577445564852559,0.0
results_np_AUC,RF-CORAL,AUC,0.0,0.5854317885192224,0.4833755274261604,0.0
results_np_AUC,RF-SA,AUC,0.0,0.6027494103908593,0.4682118763260149,0.0
results_np_AUC,LR,AUC,0.5815102147846194,0.558093673436677,0.4990849841474171,0.727517573787008
results_np_AUC,LR-FA,AUC,0.0,0.6716020195544159,0.5806672864669002,0.0
results_np_AUC,LR-BW,AUC,0.0,0.6906383806928765,0.5731759040739947,0.0
results_np_AUC,LR-CORAL,AUC,0.0,0.5661707462276464,0.4861250566163675,0.0
results_np_AUC,LR-SA,AUC,0.0,0.5585058273990795,0.49908593768623805,0.0
